iter	Passed	Remaining
0	80	80728
1	98	49367
2	125	41745
3	146	36384
4	164	32653
5	178	29641
6	193	27478
7	209	25938
8	224	24721
9	239	23747
10	255	22942
11	271	22377
12	289	21973
13	307	21648
14	327	21537
15	350	21564
16	378	21868
17	411	22445
18	440	22743
19	468	22934
20	492	22971
21	516	22968
22	540	22970
23	564	22955
24	585	22833
25	607	22756
26	628	22647
27	647	22492
28	671	22482
29	691	22360
30	710	22195
31	727	22020
32	746	21863
33	763	21703
34	782	21562
35	800	21433
36	823	21438
37	843	21360
38	867	21386
39	890	21368
40	914	21388
41	937	21394
42	961	21401
43	985	21413
44	1007	21375
45	1027	21318
46	1048	21261
47	1071	21242
48	1093	21216
49	1114	21184
50	1137	21167
51	1159	21131
52	1179	21080
53	1200	21026
54	1220	20965
55	1240	20912
56	1264	20911
57	1301	21131
58	1328	21193
59	1358	21285
60	1380	21256
61	1404	21245
62	1427	21231
63	1449	21199
64	1471	21167
65	1494	21146
66	1522	21201
67	1544	21171
68	1569	21175
69	1593	21172
70	1616	21151
71	1642	21173
72	1667	21175
73	1689	21138
74	1717	21185
75	1752	21302
76	1774	21269
77	1795	21224
78	1818	21205
79	1836	21118
80	1857	21073
81	1877	21017
82	1898	20974
83	1918	20922
84	1939	20880
85	1960	20834
86	1979	20770
87	1995	20675
88	2013	20611
89	2031	20536
90	2048	20463
91	2066	20396
92	2089	20377
93	2107	20309
94	2125	20246
95	2142	20177
96	2163	20143
97	2185	20113
98	2208	20097
99	2228	20060
100	2247	20003
101	2270	19993
102	2290	19948
103	2310	19903
104	2328	19851
105	2350	19821
106	2368	19768
107	2388	19724
108	2408	19685
109	2428	19649
110	2448	19612
111	2467	19565
112	2486	19514
113	2505	19473
114	2524	19426
115	2543	19383
116	2561	19330
117	2580	19284
118	2597	19233
119	2617	19195
120	2636	19151
121	2654	19101
122	2673	19061
123	2695	19042
124	2714	19001
125	2734	18970
126	2755	18942
127	2775	18910
128	2795	18878
129	2815	18841
130	2834	18803
131	2858	18793
132	2879	18769
133	2899	18737
134	2921	18720
135	2943	18701
136	2972	18726
137	2997	18724
138	3020	18708
139	3046	18715
140	3070	18708
141	3094	18699
142	3130	18762
143	3158	18776
144	3183	18774
145	3215	18810
146	3241	18807
147	3269	18822
148	3293	18808
149	3314	18783
150	3335	18753
151	3357	18730
152	3379	18706
153	3399	18673
154	3419	18640
155	3437	18598
156	3455	18555
157	3473	18510
158	3493	18476
159	3511	18435
160	3530	18400
161	3550	18366
162	3568	18326
163	3587	18286
164	3606	18253
165	3625	18215
166	3646	18189
167	3666	18158
168	3686	18126
169	3706	18094
170	3727	18071
171	3750	18052
172	3770	18025
173	3790	17993
174	3808	17952
175	3828	17922
176	3852	17911
177	3871	17876
178	3889	17838
179	3909	17808
180	3927	17770
181	3946	17739
182	3966	17708
183	3986	17677
184	4005	17644
185	4025	17617
186	4045	17586
187	4063	17549
188	4082	17516
189	4101	17484
190	4121	17455
191	4141	17430
192	4159	17394
193	4179	17365
194	4198	17331
195	4219	17308
196	4245	17305
197	4272	17307
198	4295	17288
199	4315	17262
200	4330	17212
201	4350	17186
202	4370	17159
203	4388	17125
204	4408	17096
205	4430	17077
206	4448	17041
207	4467	17012
208	4484	16972
209	4503	16939
210	4519	16899
211	4534	16854
212	4549	16809
213	4563	16762
214	4579	16719
215	4594	16674
216	4609	16632
217	4624	16589
218	4639	16546
219	4656	16509
220	4671	16465
221	4687	16426
222	4701	16381
223	4717	16342
224	4733	16303
225	4748	16263
226	4767	16235
227	4783	16196
228	4798	16155
229	4814	16117
230	4828	16075
231	4845	16039
232	4860	16001
233	4876	15963
234	4901	15956
235	4917	15919
236	4931	15877
237	4947	15839
238	4961	15799
239	4976	15758
240	4991	15720
241	5006	15682
242	5022	15644
243	5036	15604
244	5051	15566
245	5066	15530
246	5081	15490
247	5096	15452
248	5111	15416
249	5125	15376
250	5141	15342
251	5156	15306
252	5170	15267
253	5185	15231
254	5200	15192
255	5215	15158
256	5234	15132
257	5249	15096
258	5263	15059
259	5281	15031
260	5297	14999
261	5313	14966
262	5329	14933
263	5343	14898
264	5358	14861
265	5373	14827
266	5389	14796
267	5404	14760
268	5418	14725
269	5433	14691
270	5448	14655
271	5463	14622
272	5477	14587
273	5492	14554
274	5508	14522
275	5522	14487
276	5537	14454
277	5552	14421
278	5568	14389
279	5582	14354
280	5606	14345
281	5622	14316
282	5638	14285
283	5653	14253
284	5669	14222
285	5685	14192
286	5702	14166
287	5718	14138
288	5736	14112
289	5751	14081
290	5767	14051
291	5783	14021
292	5800	13996
293	5816	13967
294	5832	13939
295	5848	13908
296	5863	13879
297	5879	13851
298	5894	13819
299	5910	13790
300	5924	13759
301	5940	13730
302	5956	13701
303	5971	13671
304	5987	13644
305	6002	13613
