iter	Passed	Remaining
0	71	71175
1	84	42265
2	99	32909
3	112	27897
4	125	24902
5	138	22872
6	151	21453
7	164	20394
8	177	19579
9	190	18897
10	203	18334
11	217	17886
12	230	17505
13	244	17196
14	258	16948
15	272	16745
16	286	16538
17	300	16407
18	315	16292
19	330	16217
20	348	16264
21	365	16269
22	383	16273
23	408	16605
24	430	16799
25	450	16875
26	475	17152
27	499	17337
28	521	17464
29	543	17582
30	565	17691
31	591	17888
32	614	17992
33	632	17977
34	650	17943
35	670	17946
36	687	17902
37	703	17808
38	719	17739
39	736	17678
40	754	17637
41	770	17578
42	787	17526
43	805	17501
44	822	17446
45	837	17376
46	852	17294
47	869	17249
48	884	17167
49	900	17108
50	915	17027
51	930	16962
52	945	16887
53	960	16821
54	976	16778
55	991	16711
56	1008	16677
57	1023	16622
58	1038	16565
59	1054	16514
60	1069	16462
61	1086	16431
62	1104	16427
63	1124	16446
64	1143	16455
65	1161	16441
66	1181	16448
67	1200	16451
68	1219	16450
69	1238	16453
70	1256	16442
71	1275	16436
72	1293	16426
73	1312	16425
74	1330	16407
75	1346	16369
76	1419	17011
77	1449	17138
78	1468	17122
79	1483	17062
80	1500	17028
81	1517	16991
82	1534	16955
83	1551	16916
84	1566	16866
85	1582	16819
86	1599	16786
87	1611	16703
88	1627	16658
89	1642	16611
90	1657	16560
91	1674	16522
92	1690	16483
93	1705	16438
94	1721	16396
95	1735	16342
96	1750	16295
97	1765	16252
98	1781	16214
99	1797	16176
100	1812	16135
101	1827	16089
102	1842	16049
103	1858	16013
104	1874	15980
105	1890	15944
106	1906	15909
107	1922	15874
108	1937	15840
109	1952	15798
110	1968	15764
111	1983	15729
112	1998	15687
113	2013	15649
114	2029	15619
115	2044	15579
116	2057	15529
117	2072	15490
118	2087	15454
119	2103	15424
120	2118	15390
121	2133	15352
122	2148	15321
123	2164	15291
124	2179	15256
125	2194	15221
126	2210	15197
127	2225	15162
128	2241	15132
129	2256	15100
130	2271	15067
131	2287	15039
132	2302	15008
133	2317	14979
134	2333	14950
135	2348	14918
136	2364	14892
137	2380	14868
138	2395	14839
139	2410	14807
140	2427	14790
141	2445	14777
142	2463	14762
143	2480	14744
144	2497	14729
145	2515	14713
146	2534	14706
147	2550	14683
148	2567	14664
149	2584	14644
150	2601	14624
151	2618	14610
152	2636	14596
153	2656	14595
154	2674	14580
155	2691	14559
156	2707	14538
157	2723	14514
158	2739	14490
159	2756	14469
160	2772	14446
161	2788	14422
162	2803	14398
163	2819	14370
164	2836	14352
165	2853	14335
166	2871	14321
167	2888	14304
168	2906	14290
169	2924	14279
170	2942	14263
171	2958	14244
172	2977	14235
173	2995	14221
174	3012	14203
175	3029	14185
176	3046	14163
177	3061	14138
178	3078	14121
179	3094	14098
180	3110	14073
181	3128	14059
182	3145	14043
183	3163	14027
184	3181	14014
185	3199	14002
186	3218	13992
187	3236	13978
188	3253	13959
189	3272	13949
190	3291	13939
191	3310	13929
192	3326	13910
193	3344	13896
194	3360	13874
195	3376	13851
196	3392	13829
197	3410	13812
198	3426	13790
199	3441	13767
200	3453	13728
201	3469	13705
202	3484	13680
203	3499	13654
204	3515	13632
205	3532	13616
206	3549	13598
207	3566	13579
208	3581	13553
209	3596	13530
210	3609	13497
211	3621	13462
212	3633	13426
213	3645	13390
214	3657	13353
215	3668	13315
216	3680	13279
217	3692	13245
218	3703	13208
219	3715	13174
220	3728	13142
221	3740	13107
222	3751	13072
223	3763	13036
224	3774	13002
225	3786	12968
226	3798	12935
227	3810	12901
228	3822	12868
229	3833	12834
230	3844	12798
231	3856	12766
232	3868	12733
233	3879	12698
234	3891	12666
235	3902	12632
236	3914	12602
237	3925	12569
238	3937	12536
239	3949	12505
240	3960	12473
241	3971	12440
242	3983	12409
243	3994	12377
244	4007	12348
245	4018	12316
246	4030	12288
247	4042	12258
248	4054	12229
249	4066	12200
250	4079	12172
251	4090	12142
252	4102	12113
253	4114	12083
254	4125	12053
255	4137	12025
256	4149	11996
257	4160	11966
258	4172	11937
259	4183	11907
260	4194	11877
261	4206	11849
262	4217	11819
263	4229	11791
264	4240	11761
265	4252	11733
266	4264	11707
267	4276	11680
268	4288	11653
269	4299	11624
270	4311	11598
271	4324	11573
272	4336	11547
273	4349	11524
274	4364	11505
275	4377	11481
276	4391	11461
277	4405	11440
278	4418	11419
279	4440	11418
280	4454	11397
281	4467	11374
